a.m.;abbr;ˌeɪˈɛm;ранок;до полудня
ability ; n ; əˈbɪlɪti ; здатність, уміння  
raise; v.; reɪz; піднімати
range; n.; reɪndʒ; діапазон
rank; n.; ræŋk; звання
rare; adj.; reər; рідкісний
rarely; adv.; ˈreəli; рідко
rather; adv.; ˈrɑːðər; скоріше
raw; adj.; rɔː; сирий
reach; v.; riːtʃ; досягати
read; v.; riːd; читати
ready; adj.; ˈredi; готовий
real; adj.; rɪəl; справжній
realise; v.; ˈrɪəlaɪz; усвідомлювати
really; adv.; ˈrɪəli; дійсно
reason; n.; ˈriːzn; причина
reasonable; adj.; ˈriːznəbl; розумний
receipt; n.; rɪˈsiːt; чек
receive; v.; rɪˈsiːv; отримувати
recent; adj.; ˈriːsnt; нещодавній
reception; n.; rɪˈsepʃn; прийом
recipe; n.; ˈresəpi; рецепт
recognise; v.; ˈrekəɡnaɪz; впізнавати
recommend; v.; ˌrekəˈmend; рекомендувати
record; n., v.; ˈrekɔːrd; запис; записувати
recording; n.; rɪˈkɔːrdɪŋ; запис
recover; v.; rɪˈkʌvər; одужувати
recycle; v.; riːˈsaɪkl; переробляти
recycled; adj.; riːˈsaɪkld; перероблений
recycling; n.; riːˈsaɪklɪŋ; переробка
red; adj., n.; red; червоний
reduce; v.; rɪˈdʒuːs; зменшувати
refreshments; n.; rɪˈfreʃmənts; закуски та напої
refrigerator; n.; rɪˈfrɪdʒəreɪtər; холодильник
refund; n., v.; rɪˈfʌnd; повернення коштів; повертати кошти
refuse; v.; rɪˈfjuːz; відмовлятися
regarding; prep.; rɪˈɡɑːrdɪŋ; щодо
region; n.; ˈriːdʒən; регіон
register; v.; ˈredʒɪstər; реєструвати
registration; n.; ˌredʒɪˈstreɪʃn; реєстрація
regret; v., n.; rɪˈɡret; шкодувати; жаль
regular; adj.; ˈreɡjələr; регулярний
relation; n.; rɪˈleɪʃn; відношення
relationship; n.; rɪˈleɪʃnʃɪp; стосунки
relative; n.; ˈrelətɪv; родич
relaxation; n.; ˌriːlækˈseɪʃn; відпочинок
reliable; adj.; rɪˈlaɪəbl; надійний
religion; n.; rɪˈlɪdʒən; релігія
remain; v.; rɪˈmeɪn; залишатися
remember; v.; rɪˈmembər; пам'ятати
remind; v.; rɪˈmaɪnd; нагадувати
remove; v.; rɪˈmuːv; видаляти
rent; n., v.; rent; оренда; орендувати
repair; v., n.; rɪˈpeər; ремонтувати; ремонт
repeat; v.; rɪˈpiːt; повторювати
replace; v.; rɪˈpleɪs; замінювати
reply; v., n.; rɪˈplaɪ; відповідати; відповідь
report; n., v.; rɪˈpɔːrt; звіт; звітувати
request; n., v.; rɪˈkwest; запит; запитувати
require; v.; rɪˈkwaɪər; вимагати
rescue; v., n.; ˈreskjuː; рятувати; порятунок
research; n., v.; rɪˈsɜːrtʃ; дослідження; досліджувати
reservation; n.; ˌrezərˈveɪʃn; бронювання
reserve; v.; rɪˈzɜːrv; бронювати
respect; n., v.; rɪˈspekt; повага; поважати
responsible; adj.; rɪˈspɒnsəbl; відповідальний
rest; n., v.; rest; відпочинок; відпочивати
restaurant; n.; ˈrestrɒnt; ресторан
result; n.; rɪˈzʌlt; результат
retire; v.; rɪˈtaɪər; виходити на пенсію
return; v., n.; rɪˈtɜːrn; повертатися; повернення
review; n., v.; rɪˈvjuː; огляд; переглядати
revise; v.; rɪˈvaɪz; переглядати
reward; n., v.; rɪˈwɔːrd; нагорода; нагороджувати
rice; n.; raɪs; рис
rich; adj.; rɪtʃ; багатий
ride; v., n.; raɪd; їздити верхи; поїздка
right; adj., adv.; raɪt; правий; праворуч
ring back; v.; rɪŋ bæk; передзвонювати
ring off; v.; rɪŋ ɒf; класти слухавку
ring up; v.; rɪŋ ʌp; телефонувати
ring; v., n.; rɪŋ; дзвонити; дзвінок
ripe; adj.; raɪp; стиглий
rise; v.; raɪz; підніматися
river; n.; ˈrɪvər; річка
road; n.; rəʊd; дорога
roast; v., n.; rəʊst; смажити; жаркое
rob; v.; rɒb; грабувати
robbery; n.; ˈrɒbəri; пограбування
rock; n.; rɒk; скеля
role; n.; rəʊl; роль
roll; v., n.; rəʊl; котитися; рулон
roof; n.; ruːf; дах
room; n.; ruːm; кімната
rose; n.; rəʊz; троянда
rough; adj.; rʌf; грубий
round; adj., prep.; raʊnd; круглий; навколо
roundabout; n.; ˈraʊndəbaʊt; кільцева розв'язка
route; n.; ruːt; маршрут
row; n.; rəʊ; ряд
rubbish; n.; ˈrʌbɪʃ; сміття
rude; adj.; ruːd; грубий
rugby; n.; ˈrʌɡbi; регбі
ruin; v., n.; ˈruːɪn; руйнувати; руїна
rule; n., v.; ruːl; правило; керувати
ruler; n.; ˈruːlər; лінійка
run out of; v.; rʌn aʊt ɒv; закінчуватися
sad; adj.; sæd; сумний
safe; adj.; seɪf; безпечний
safety; n.; ˈseɪfti; безпека
sail; v., n.; seɪl; плавати під вітрилом; вітрило
salad; n.; ˈsæləd; салат
salary; n.; ˈsæləri; зарплата
sale; n.; seɪl; продаж
salesman; n.; ˈseɪlzmən; продавець (чоловік)
saleswoman; n.; ˈseɪlzwʊmən; продавщиця (жінка)
salt; n.; sɔːlt; сіль
same; adj.; seɪm; однаковий
sand; n.; sænd; пісок
sandwich; n.; ˈsænwɪtʃ; сендвіч
satisfactory; adj.; ˌsætɪsˈfæktəri; задовільний
satisfied; adj.; ˈsætɪsfaɪd; задоволений
saucer; n.; ˈsɔːsər; блюдце
sausage; n.; ˈsɒsɪdʒ; ковбаса
save; v.; seɪv; зберігати
scene; n.; siːn; сцена
scenery; n.; ˈsiːnəri; пейзаж
school; n.; skuːl; школа
science fiction; n.; ˈsaɪəns ˈfɪkʃn; наукова фантастика
science; n.; ˈsaɪəns; наука
scientific; adj.; ˌsaɪənˈtɪfɪk; науковий
scientist; n.; ˈsaɪəntɪst; вчений
scissors; n.; ˈsɪzərz; ножиці
scooter; n.; ˈskuːtər; скутер
score; n., v.; skɔːr; рахунок; забивати
scream; v., n.; skriːm; кричати; крик
screen; n.; skriːn; екран
sculpture; n.; ˈskʌlptʃər; скульптура
sea; n.; siː; море
search; v., n.; sɜːrtʃ; шукати; пошук
seaside; n.; ˈsiːsaɪd; морське узбережжя
season; n.; ˈsiːzn; сезон
seat belt; n.; siːt belt; ремінь безпеки
seat; n.; siːt; сидіння
second; adj., n.; ˈsekənd; другий
secondary; adj.; ˈsekəndri; вторинний
secret; n., adj.; ˈsiːkrət; секрет; секретний
secretary; n.; ˈsekrətri; секретар
security; n.; sɪˈkjʊərəti; безпека
see; v.; siː; бачити
seem; v.; siːm; здаватися
seldom; adv.; ˈseldəm; рідко
select; v.; sɪˈlekt; вибирати
self-service; n.; selfˈsɜːrvɪs; самообслуговування
sell; v.; sel; продавати
send; v.; send; посилати
sensible; adj.; ˈsensəbl; розсудливий
sentence; n.; ˈsentəns; речення
series; n.; ˈsɪəriːz; серія
serious; adj.; ˈsɪəriəs; серйозний
servant; n.; ˈsɜːrvənt; слуга
serve; v.; sɜːrv; служити
service; n.; ˈsɜːrvɪs; обслуговування
session; n.; ˈseʃn; сесія
set free; v.; set friː; звільнити
set off; v.; set ɒf; вирушати
set out; v.; set aʊt; вирушати, викладати
set up; v.; set ʌp; встановлювати
set; v., n.; set; встановлювати; набір
several; det., pron.; ˈsevrəl; кілька
sew; v.; səʊ; шити
sex; n.; seks; стать
sh!; int.; ʃː; тс!
shade; n.; ʃeɪd; тінь
shadow; n.; ˈʃædəʊ; тінь
shake; v.; ʃeɪk; трясти
shallow; adj.; ˈʃæləʊ; мілкий
shame; n.; ʃeɪm; сором
shampoo; n.; ʃæmˈpuː; шампунь
shape; n.; ʃeɪp; форма
share; v., n.; ʃeər; ділитися; частка
shark; n.; ʃɑːrk; акула
sharp; adj.; ʃɑːrp; гострий
shave; v.; ʃeɪv; голитися
she; pron.; ʃiː; вона
sheep; n.; ʃiːp; вівця
sheet; n.; ʃiːt; простирадло, аркуш
shelf; n.; ʃelf; полиця
shine; v.; ʃaɪn; світити
ship; n.; ʃɪp; корабель
shirt; n.; ʃɜːrt; сорочка
shock; n.; ʃɒk; шок
shoe; n.; ʃuː; черевик
shoot; v.; ʃuːt; стріляти
shop assistant; n.; ˈʃɒp əˈsɪstənt; продавець
shop; n.; ʃɒp; магазин
shopkeeper; n.; ˈʃɒpkiːpər; власник магазину
shore; n.; ʃɔːr; берег
short; adj.; ʃɔːrt; короткий
shorts; n.; ʃɔːrts; шорти
shoulder; n.; ˈʃəʊldər; плече
shout; v., n.; ʃaʊt; кричати; крик
show; v., n.; ʃəʊ; показувати; шоу
shower; n.; ˈʃaʊər; душ
shut; v.; ʃʌt; закривати
shy; adj.; ʃaɪ; сором'язливий
sick; adj.; sɪk; хворий
side; n.; saɪd; сторона
sight; n.; saɪt; зір
sightseeing; n.; ˈsaɪtsiːɪŋ; огляд визначних місць
sign; n., v.; saɪn; знак; підписувати
signal; n.; ˈsɪɡnəl; сигнал
signature; n.; ˈsɪɡnətʃər; підпис
signpost; n.; ˈsaɪnpəʊst; дорожній знак
silence; n.; ˈsaɪləns; тиша
silent; adj.; ˈsaɪlənt; тихий
silk; n.; sɪlk; шовк
silly; adj.; ˈsɪli; дурний
silver; n.; ˈsɪlvər; срібло
similar; adj.; ˈsɪmələr; схожий
simple; adj.; ˈsɪmpl; простий
since; prep., conj.; sɪns; відтоді як
sincerely; adv.; sɪnˈsɪərli; щиро
sing; v.; sɪŋ; співати
single; adj.; ˈsɪŋɡl; одиночний
sink; v., n.; sɪŋk; тонути; раковина
Sir; n.; sɜːr; сер
sister; n.; ˈsɪstər; сестра
sit; v.; sɪt; сидіти
site; n.; saɪt; місцезнаходження
sitting room; n.; ˈsɪtɪŋ ruːm; вітальня
situated; adj.; ˈsɪtʃueɪtɪd; розташований
situation; n.; ˌsɪtʃuˈeɪʃn; ситуація
size; n.; saɪz; розмір
skateboard; n.; ˈskeɪtbɔːrd; скейтборд
ski; n., v.; skiː; лижа; кататися на лижах
skill; n.; skɪl; навичка
skilled; adj.; skɪld; кваліфікований
skin; n.; skɪn; шкіра
skirt; n.; skɜːrt; спідниця
sky; n.; skaɪ; небо
sleep; v., n.; sliːp; спати; сон
sleeve; n.; sliːv; рукав
slice; n.; slaɪs; шматок
slim; adj.; slɪm; стрункий
slip; v.; slɪp; ковзати
slope; n.; sləʊp; схил
slow; adj.; sləʊ; повільний
small; adj.; smɔːl; маленький
smart; adj.; smɑːrt; розумний, ошатний
smell; v., n.; smel; пахнути; запах
smile; v., n.; smaɪl; посміхатися; посмішка
smoke; v., n.; sməʊk; курити; дим
smooth; adj.; smuːð; гладкий
snack; n.; snæk; закуска
snake; n.; sneɪk; змія
snow; n.; snəʊ; сніг
snowball; n.; ˈsnəʊbɔːl; сніжка
snowboard; n.; ˈsnəʊbɔːrd; сноуборд
snowman; n.; ˈsnəʊmæn; сніговик
snowstorm; n.; ˈsnəʊstɔːrm; снігова буря
so-so; adj.; ˈsəʊsəʊ; так собі
so; adv., conj.; səʊ; так
soap; n.; səʊp; мило
social; adj.; ˈsəʊʃl; соціальний
society; n.; səˈsaɪəti; суспільство
sock; n.; sɒk; шкарпетка
sofa; n.; ˈsəʊfə; диван
soft; adj.; sɒft; м'який
software; n.; ˈsɒftweər; програмне забезпечення
soil; n.; sɔɪl; грунт
soldier; n.; ˈsəʊldʒər; солдат
solid; adj.; ˈsɒlɪd; твердий
some; det., pron.; sʌm; деякі
somebody; pron.; ˈsʌmbədi; хтось
someone; pron.; ˈsʌmwʌn; хтось
something; pron.; ˈsʌmθɪŋ; щось
sometimes; adv.; ˈsʌmtaɪmz; іноді
somewhere; adv.; ˈsʌmweər; десь
son; n.; sʌn; син
song; n.; sɒŋ; пісня
soon; adv.; suːn; скоро
sore; adj.; sɔːr; хворий
sorry; adj.; ˈsɒri; шкода
sort; n., v.; sɔːrt; вид; сортувати
sound; n., v.; saʊnd; звук; звучати
soup; n.; suːp; суп
sour; adj.; ˈsaʊər; кислий
south; n., adj.; saʊθ; південь; південний
southeast; n., adj.; saʊθˈiːst; південний схід; південно-східний
southwest; n., adj.; saʊθˈwest; південний захід; південно-західний
souvenir; n.; ˌsuːvəˈnɪər; сувенір
space; n.; speɪs; простір
spade; n.; speɪd; лопата
spare; adj.; speər; запасний
speak; v.; spiːk; говорити
special; adj.; ˈspeʃl; особливий
speech; n.; spiːtʃ; мова
speed; n.; spiːd; швидкість
spell; v.; spel; вимовляти по буквах
spend; v.; spend; витрачати
spill; v.; spɪl; розливати
spinach; n.; ˈspɪnɪtʃ; шпинат
spite; n.; spaɪt; злість
spoil; v.; spɔɪl; псувати
spoon; n.; spuːn; ложка
sport; n.; spɔːrt; спорт
spot; n.; spɒt; місце
spy; n.; spaɪ; шпигун
square; n.; skweər; площа
squash; n.; skwɒʃ; сквош
stadium; n.; ˈsteɪdiəm; стадіон
staff; n.; stæf; персонал
stage; n.; steɪdʒ; сцена
stain; n.; steɪn; пляма
stairs; n.; steərz; сходи
stall; n.; stɔːl; кіоск
stamp; n.; stæmp; марка
stand; v., n.; stænd; стояти; стійка
standard; n.; ˈstændərd; стандарт
star; n.; stɑːr; зірка
start; v., n.; stɑːrt; починати; початок
state; n.; steɪt; стан
statement; n.; ˈsteɪtmənt; заява
station; n.; ˈsteɪʃn; станція
statue; n.; ˈstætʃuː; статуя
stay behind; v.; steɪ bɪˈhaɪnd; залишатися позаду
stay; v.; steɪ; залишатися
steak; n.; steɪk; стейк
steal; v.; stiːl; красти
steam; n.; stiːm; пар
steel; n.; stiːl; сталь
steep; adj.; stiːp; крутий
step; n.; step; крок
stick; n., v.; stɪk; палиця; приклеювати
sticky; adj.; ˈstɪki; липкий
stiff; adj.; stɪf; жорсткий
still; adv.; stɪl; все ще
stir; v.; stɜːr; розмішувати
stomach; n.; ˈstʌmək; шлунок
stone; n.; stəʊn; камінь
stop; v., n.; stɒp; зупиняти; зупинка
store; n.; stɔːr; магазин
storm; n.; stɔːrm; шторм
story; n.; ˈstɔːri; історія
straight; adj.; streɪt; прямий
strange; adj.; streɪndʒ; дивний
stranger; n.; ˈstreɪndʒər; незнайомець
strawberry; n.; ˈstrɔːbəri; полуниця
stream; n.; striːm; потік
street; n.; striːt; вулиця
stress; n.; stres; стрес
strict; adj.; strɪkt; суворий
strike; v., n.; straɪk; страйкувати; страйк
strong; adj.; strɒŋ; сильний
student; n.; ˈstjuːdnt; студент
studio; n.; ˈstjuːdiəʊ; студія
study; v., n.; ˈstʌdi; вчитися; навчання
stupid; adj.; ˈstjuːpɪd; дурний
style; n.; staɪl; стиль
subject; n.; ˈsʌbdʒekt; предмет
subtract; v.; səbˈtrækt; віднімати
subway; n.; ˈsʌbweɪ; метро
succeed; v.; səkˈsiːd; досягати успіху
success; n.; səkˈses; успіх
such; det.; sʌtʃ; такий
sudden; adj.; ˈsʌdn; раптовий
sugar; n.; ˈʃʊɡər; цукор
suggest; v.; səˈdʒest; пропонувати
suit; n.; suːt; костюм
suitable; adj.; ˈsuːtəbl; підходящий
suitcase; n.; ˈsuːtkeɪs; валіза
sum up; v.; sʌm ʌp; підсумовувати
sum; n.; sʌm; сума
sun; n.; sʌn; сонце
sunbathe; v.; ˈsʌnbeɪð; засмагати
sunlight; n.; ˈsʌnlaɪt; сонячне світло
sunrise; n.; ˈsʌnraɪz; схід сонця
sunset; n.; ˈsʌnset; захід сонця
sunshine; n.; ˈsʌnʃaɪn; сонячне світло
supermarket; n.; ˈsuːpərmɑːrkɪt; супермаркет
supply; v., n.; səˈplaɪ; постачати; постачання
support; v., n.; səˈpɔːrt; підтримувати; підтримка
suppose; v.; səˈpəʊz; припускати
sure; adj.; ʃʊər; впевнений
surfing; n.; ˈsɜːrfɪŋ; серфінг
surname; n.; ˈsɜːrneɪm; прізвище
surprise; n.; səˈpraɪz; сюрприз
surround; v.; səˈraʊnd; оточувати
sweater; n.; ˈswetər; светр
sweatshirt; n.; ˈswetʃɜːrt; толстовка
sweep; v.; swiːp; підмітати
sweet; adj.; swiːt; солодкий
swim; v.; swɪm; плавати
swimming costume; n.; ˈswɪmɪŋ ˈkɒstjuːm; купальник
swing; n., v.; swɪŋ; гойдалка; гойдатися
switch; n., v.; swɪtʃ; вимикач; перемикати
system; n.; ˈsɪstəm; система
T-shirt; n.; ˈtiːʃɜːrt; футболка
table-cloth; n.; ˈteɪblklɒθ; скатертина
table-tennis; n.; ˈteɪbl ˈtenɪs; настільний теніс
table; n.; ˈteɪbl; стіл
tablet; n.; ˈtæblət; планшет
take away; v.; teɪk əˈweɪ; забирати
take off; v.; teɪk ɒf; знімати (одяг), злітати
take part; v.; teɪk pɑːrt; брати участь
take place; v.; teɪk pleɪs; відбуватися
take up; v.; teɪk ʌp; займати (час, місце), братися за щось
take; v.; teɪk; брати
talent; n.; ˈtælənt; талант
talk; v., n.; tɔːk; розмовляти; розмова
tall; adj.; tɔːl; високий (про людину)
tap; n., v.; tæp; кран; постукувати
tape; n.; teɪp; стрічка
taste; n., v.; teɪst; смак; смакувати
tax; n.; tæks; податок
taxi; n.; ˈtæksi; таксі
tea; n.; tiː; чай
teach; v.; tiːtʃ; вчити
team; n.; tiːm; команда
tear; v., n.; ter; рвати; сльоза
technique; n.; tekˈniːk; техніка
technology; n.; tekˈnɒlədʒi; технологія
teenage; adj.; ˈtiːneɪdʒ; підлітковий
teeth; n.; tiːθ; зуби
telegram; n.; ˈtelɪɡræm; телеграма
telephone; n.; ˈtelɪfəʊn; телефон
television; n.; ˈtelɪvɪʒn; телебачення
tell; v.; tel; розповідати
temperature; n.; ˈtemprətʃər; температура
temporary; adj.; ˈtemprəri; тимчасовий
tennis; n.; ˈtenɪs; теніс
tent; n.; tent; намет
term; n.; tɜːrm; термін
terminal; n.; ˈtɜːrmɪnl; термінал
terrible; adj.; ˈterəbl; жахливий
test; n., v.; test; тест; тестувати
text; n.; tekst; текст
than; conj.; ðæn; ніж
thank you; phr.; θæŋk juː; дякую
thank; v.; θæŋk; дякувати
thanks; int.; θæŋks; дякую
that; det., pron., conj.; ðæt; той, той, що
theft; n.; θeft; крадіжка
their; pron.; ðeər; їхній
theirs; pron.; ðeərz; їхній (чий?)
them; pron.; ðem; їх
themselves; pron.; ðəmˈselvz; себе
then; adv.; ðen; потім
there; adv.; ðeər; там
therefore; adv.; ˈðeərfɔːr; тому
thermometer; n.; θəˈmɒmɪtər; термометр
these; det., pron.; ðiːz; ці
they; pron.; ðeɪ; вони
thick; adj.; θɪk; товстий
thief; n.; θiːf; злодій
thin; adj.; θɪn; тонкий
thing; n.; θɪŋ; річ
things; n.; θɪŋz; речі
think; v.; θɪŋk; думати
thirst; n.; θɜːrst; спрага
this; det., pron.; ðɪs; цей
those; det., pron.; ðəʊz; ті
though; conj.; ðəʊ; хоча
thought; n.; θɔːt; думка
thriller; n.; ˈθrɪlər; трилер
throat; n.; θrəʊt; горло
through; prep.; θruː; через
throughout; prep.; θruːˈaʊt; протягом
throw away; v.; θrəʊ əˈweɪ; викидати
throw; v.; θrəʊ; кидати
thumb; n.; θʌm; великий палець
thunder; n.; ˈθʌndər; грім
thunderstorm; n.; ˈθʌndərstɔːrm; гроза
tick; n.; tɪk; галочка
ticket; n.; ˈtɪkɪt; квиток
tidy up; v.; ˈtaɪdi ʌp; прибирати
tidy; adj.; ˈtaɪdi; охайний
tie; n., v.; taɪ; краватка; зав'язувати
tiger; n.; ˈtaɪɡər; тигр
tight; adj.; taɪt; тісний
time; n.; taɪm; час
timetable; n.; ˈtaɪmteɪbl; розклад
tin-opener; n.; ˈtɪn ˈəʊpənər; консервний ніж
tin; n.; tɪn; бляшанка
tiny; adj.; ˈtaɪni; крихітний
tip; n.; tɪp; чайові
tired; adj.; ˈtaɪərd; втомлений
title; n.; ˈtaɪtl; назва
to; prep.; tuː; до
toast; n.; təʊst; тост
today; n., adv.; təˈdeɪ; сьогодні
toe; n.; təʊ; палець ноги
together; adv.; təˈɡeðər; разом
toilet; n.; ˈtɔɪlət; туалет
tomato; n.; təˈmɑːtəʊ; помідор
tomorrow; n., adv.; təˈmɒrəʊ; завтра
ton; n.; tʌn; тонна
tongue; n.; tʌŋ; язик
tonight; n., adv.; təˈnaɪt; сьогодні ввечері
too; adv.; tuː; також
tool; n.; tuːl; інструмент
tooth; n.; tuːθ; зуб
toothache; n.; ˈtuːθeɪk; зубний біль
toothbrush; n.; ˈtuːθbrʌʃ; зубна щітка
toothpaste; n.; ˈtuːθpeɪst; зубна паста
top; n.; tɒp; верх
topic; n.; ˈtɒpɪk; тема
total; adj., n.; ˈtəʊtl; загальний; сума
touch; v., n.; tʌtʃ; торкатися; дотик
tour; n.; tʊər; тур
tourism; n.; ˈtʊərɪzəm; туризм
tourist; n.; ˈtʊərɪst; турист
toward; prep.; təˈwɔːrd; до
towel; n.; ˈtaʊəl; рушник
tower; n.; ˈtaʊər; вежа
town; n.; taʊn; місто
toy; n.; tɔɪ; іграшка
track suit; n.; ˈtræk suːt; спортивний костюм
track; n.; træk; доріжка
trade; n.; treɪd; торгівля
traditional; adj.; trəˈdɪʃənl; традиційний
traffic jam; n.; ˈtræfɪk dʒæm; затор
traffic light; n.; ˈtræfɪk laɪt; світлофор
traffic; n.; ˈtræfɪk; дорожній рух
train; n.; treɪn; потяг
trainers; n.; ˈtreɪnərz; кросівки
tram; n.; træm; трамвай
transfer; v.; trænsˈfɜːr; переказувати (гроші)
translate; v.; trænzˈleɪt; перекладати
translation; n.; trænzˈleɪʃn; переклад
transport; n.; ˈtrænspɔːrt; транспорт
travel agent; n.; ˈtrævl ˈeɪdʒənt; туристичний агент
travel; v., n.; ˈtrævl; подорожувати; подорож
traveller's cheque; n.; ˈtrævələrz tʃek; дорожній чек
tree; n.; triː; дерево
trip; n.; trɪp; подорож
trouble; n.; ˈtrʌbl; проблема
trousers; n.; ˈtraʊzərz; штани
truck; n.; trʌk; вантажівка
true; adj.; truː; правдивий
trumpet; n.; ˈtrʌmpɪt; труба
trust; v., n.; trʌst; довіряти; довіра
truth; n.; truːθ; правда
try on; v.; traɪ ɒn; приміряти
try; v.; traɪ; намагатися
tube; n.; tjuːb; труба, метро
tune; n.; tjuːn; мелодія
tunnel; n.; ˈtʌnl; тунель
turkey; n.; ˈtɜːrki; індичка
turn down; v.; tɜːn daʊn; зменшувати (гучність)
turn into; v.; tɜːn ˈɪntuː; перетворюватися
turn off; v.; tɜːn ɒf; вимикати
turn on; v.; tɜːn ɒn; вмикати
turn out; v.; tɜːn aʊt; виявлятися
turn up; v.; tɜːn ʌp; з'являтися, збільшувати (гучність)
turn; v., n.; tɜːrn; повертати; поворот
turning; n.; ˈtɜːnɪŋ; поворот
twice; adv.; twaɪs; двічі
twin; n.; twɪn; близнюк
type; n.; taɪp; тип
typical; adj.; ˈtɪpɪkl; типовий
tyre; n.; ˈtaɪər; шина
ugly; adj.; ˈʌɡli; потворний
umbrella; n.; ʌmˈbrelə; парасолька
unable; adj.; ʌnˈeɪbl; нездатний
uncle; n.; ˈʌŋkl; дядько
under; prep.; ˈʌndər; під
underground; adj., n.; ˌʌndəˈɡraʊnd; підземний; метро
underpants; n.; ˈʌndəpænts; труси
understand; v.; ˌʌndəˈstænd; розуміти
uniform; n.; ˈjuːnɪfɔːrm; форма
universe; n.; ˈjuːnɪvɜːrs; всесвіт
university; n.; ˌjuːnɪˈvɜːrsəti; університет
unleaded; adj.; ʌnˈliːdɪd; неетильований
unless; conj.; ʌnˈles; якщо не
until; conj., prep.; ʌnˈtɪl; до
up to date; phr.; ʌp tə deɪt; сучасний
up to; prep.; ʌp tuː; до
up; adv.; ʌp; вгору
update; v.; ʌpˈdeɪt; оновлювати
upon; prep.; əˈpɒn; на
upset; adj.; ʌpˈset; засмучений
upstairs; adv.; ʌpˈsteərz; нагорі
urgent; adj.; ˈɜːrdʒənt; терміновий
us; pron.; ʌs; нас
use; v., n.; juːz; використовувати; використання
used to; v.; juːst tuː; раніше робив щось
usual; adj.; ˈjuːʒuəl; звичайний
valley; n.; ˈvæli; долина
value; n.; ˈvæljuː; цінність
van; n.; væn; фургон
vanilla; n.; vəˈnɪlə; ваніль
variety; n.; vəˈraɪəti; різноманітність
various; adj.; ˈveəriəs; різний
vase; n.; veɪz; ваза
veal; n.; viːl; телятина
vegetable; n.; ˈvedʒtəbl; овоч
vegetarian; adj., n.; ˌvedʒəˈteəriən; вегетаріанський; вегетаріанець
vehicle; n.; ˈviːəkl; транспортний засіб
venue; n.; ˈvenjuː; місце проведення
very; adv.; ˈveri; дуже
victim; n.; ˈvɪktɪm; жертва
victory; n.; ˈvɪktəri; перемога
video recorder; n.; ˈvɪdiəʊ rɪˈkɔːrdər; відеомагнітофон
video; n.; ˈvɪdiəʊ; відео
videotape; n.; ˈvɪdiəʊteɪp; відеокасета
view; n., v.; vjuː; вид; дивитися
village; n.; ˈvɪlɪdʒ; село
violin; n.; ˌvaɪəˈlɪn; скрипка
visa; n.; ˈviːzə; віза
visit; v., n.; ˈvɪzɪt; відвідувати; візит
visitor; n.; ˈvɪzɪtər; відвідувач
vocabulary; n.; vəˈkæbjələri; словниковий запас
voice; n.; vɔɪs; голос
volleyball; n.; ˈvɒlibɔːl; волейбол
vote; v., n.; vəʊt; голосувати; голос
voyage; n.; ˈvɔɪɪdʒ; подорож (морська)
wage; n.; weɪdʒ; заробітна плата
wait; v.; weɪt; чекати
waiter; n.; ˈweɪtər; офіціант
waiting-room; n.; ˈweɪtɪŋ ruːm; кімната очікування
waitress; n.; ˈweɪtrəs; офіціантка
wake; v.; weɪk; прокидатися
walk; v., n.; wɔːk; гуляти; прогулянка
wall; n.; wɔːl; стіна
wallet; n.; ˈwɒlɪt; гаманець
want; v.; wɒnt; хотіти
war; n.; wɔːr; війна
ward; n.; wɔːrd; палата (в лікарні)
warm; adj.; wɔːrm; теплий
warn; v.; wɔːrn; попереджати
wash up; v.; wɔʃ ʌp; мити посуд
wash-basin; n.; ˈwɒʃbeɪsn; умивальник
wash; v.; wɔʃ; мити
washing machine; n.; ˈwɒʃɪŋ məˈʃiːn; пральна машина
washing up; n.; ˈwɒʃɪŋ ʌp; миття посуду
waste; v., n.; weɪst; витрачати марно; відходи
wastepaper basket; n.; ˈweɪstpeɪpər ˈbɑːskɪt; кошик для сміття
watch; v., n.; wɔtʃ; дивитися; годинник
water; n.; ˈwɔːtər; вода
waterfall; n.; ˈwɔːtərfɔːl; водоспад
wave; n., v.; weɪv; хвиля; махати
way; n.; weɪ; шлях
WC; n.; ˌdʌbljuːˈsiː; туалет
we; pron.; wiː; ми
weak; adj.; wiːk; слабкий
wear off; v.; wer ɒf; зношуватися
wear out; v.; wer aʊt; зношувати(ся)
weather; n.; ˈweðər; погода
web; n.; web; веб-сайт
website; n.; ˈwebsaɪt; веб-сайт
wedding; n.; ˈwedɪŋ; весілля
week; n.; wiːk; тиждень
weekday; n.; ˈwiːkdeɪ; будній день
weekend; n.; ˌwiːkˈend; вихідні
weekly; adj.; ˈwiːkli; щотижневий
weigh; v.; weɪ; зважувати
weight; n.; weɪt; вага
welcome; adj., v.; ˈwelkʌm; ласкаво просимо; вітати
welfare; n.; ˈwelfeər; добробут
Well done!; phr.; wel dʌn; молодець!
well known; adj.; wel nəʊn; добре відомий
well made; adj.; wel meɪd; добре зроблений
well-known; adj.; welˈnəʊn; добре відомий
well-made; adj.; welˈmeɪd; добре зроблений
well; adv.; wel; добре
west; n., adj.; west; захід; західний
wet; adj.; wet; мокрий
what; det., pron.; wɒt; що
whatever; det., pron.; wɒtˈevər; що завгодно
wheel; n.; wiːl; колесо
wheelchair; n.; ˈwiːltʃeər; інвалідне крісло
when; adv., conj.; wen; коли
whenever; adv., conj.; wenˈevər; щоразу, коли
where; adv., conj.; weər; де
wherever; adv., conj.; werˈevər; де завгодно
